,dep_sym
0,ABB US Equity
1,ADNT US Equity
2,AEG US Equity
3,AER US Equity
4,ALV US Equity
5,ANFI US Equity
6,AU US Equity
7,AUO US Equity
8,AZN US Equity
9,BBL US Equity
10,BBVA US Equity
11,BCS US Equity
12,BHP US Equity
13,BP US Equity
14,BTI US Equity
15,BUD US Equity
16,CAJ US Equity
17,CHT US Equity
18,CLB US Equity
19,CNHI US Equity
20,CRH US Equity
21,CS US Equity
22,CSTM US Equity
23,CUK US Equity
24,CYD US Equity
25,DB US Equity
26,DEO US Equity
27,DHT US Equity
28,DLPH US Equity
29,E US Equity
30,EROS US Equity
31,EURN US Equity
32,FCAU US Equity
33,FLY US Equity
34,FMS US Equity
35,FN US Equity
36,FRO US Equity
37,FTCH US Equity
38,G US Equity
39,GFI US Equity
40,GSK US Equity
41,GTX US Equity
42,HDB US Equity
43,HMC US Equity
44,HMY US Equity
45,HSBC US Equity
46,I US Equity
47,IBN US Equity
48,IGT US Equity
49,IHG US Equity
50,INFY US Equity
51,ING US Equity
52,INXN US Equity
53,JHG US Equity
54,KB US Equity
55,KEP US Equity
56,KT US Equity
57,LIN US Equity
58,LIQT US Equity
59,LPG US Equity
60,LPL US Equity
61,LXFR US Equity
62,LXFT US Equity
63,LYG US Equity
64,MBT US Equity
65,MFG US Equity
66,MFGP US Equity
67,MT US Equity
68,MTD US Equity
69,MUFG US Equity
70,MX US Equity
71,NAT US Equity
72,NE US Equity
73,NGG US Equity
74,NMR US Equity
75,NOK US Equity
76,NOMD US Equity
77,NSPR US Equity
78,NVO US Equity
79,NVS US Equity
80,OEC US Equity
81,ORAN US Equity
82,PHG US Equity
83,PHI US Equity
84,PKX US Equity
85,PSO US Equity
86,PUK US Equity
87,QGEN US Equity
88,RACE US Equity
89,RBS US Equity
90,RCL US Equity
91,RDY US Equity
92,RELX US Equity
93,RIG US Equity
94,RIO US Equity
95,SALT US Equity
96,SAN US Equity
97,SAP US Equity
98,SBGL US Equity
99,SDRL US Equity
100,SE US Equity
101,SFL US Equity
102,SHG US Equity
103,SIG US Equity
104,SKM US Equity
105,SLB US Equity
106,SMFG US Equity
107,SNE US Equity
108,SNN US Equity
109,SPOT US Equity
110,SSL US Equity
111,STM US Equity
112,STNG US Equity
113,TAK US Equity
114,TARO US Equity
115,TEF US Equity
116,TEVA US Equity
117,TKC US Equity
118,TLK US Equity
119,TM US Equity
120,TOT US Equity
121,TSM US Equity
122,TTM US Equity
123,UBS US Equity
124,UL US Equity
125,UMC US Equity
126,UN US Equity
127,VEDL US Equity
128,VNE US Equity
129,WBK US Equity
130,WIT US Equity
131,WNS US Equity
132,WPP US Equity
